"","vid_id","ad_view"
"1","VID_1054","1105"
"2","VID_18629","1070"
"3","VID_13967","1358"
"4","VID_19442","591"
"5","VID_770","820"
"6","VID_10315","1358"
"7","VID_7417","1143"
"8","VID_17788","3399"
"9","VID_14591","469"
"10","VID_1228","729"
"11","VID_10153","1070"
"12","VID_5667","1358"
"13","VID_22775","3399"
"14","VID_8353","3399"
"15","VID_486","1026"
"16","VID_17460","3399"
"17","VID_5867","1700"
"18","VID_15951","1311"
"19","VID_14890","3399"
"20","VID_7219","2645"
"21","VID_20045","3399"
"22","VID_11874","3399"
"23","VID_1208","2972"
"24","VID_4529","5256"
"25","VID_6793","1508"
"26","VID_18254","533"
"27","VID_11155","1143"
"28","VID_12257","3399"
"29","VID_4207","787"
"30","VID_23276","1508"
"31","VID_18261","534"
"32","VID_11536","1358"
"33","VID_6429","491"
"34","VID_9277","1358"
"35","VID_517","1671"
"36","VID_11291","11126"
"37","VID_11265","1715"
"38","VID_632","1691"
"39","VID_13587","808"
"40","VID_16439","3399"
"41","VID_14888","1115"
"42","VID_3207","1230"
"43","VID_9352","3399"
"44","VID_3286","522"
"45","VID_19592","3399"
"46","VID_15582","3399"
"47","VID_15269","4884"
"48","VID_5703","1736"
"49","VID_22315","1358"
"50","VID_14939","1143"
"51","VID_18277","1508"
"52","VID_1684","1707"
"53","VID_14842","989"
"54","VID_635","518"
"55","VID_19621","1358"
"56","VID_2006","3399"
"57","VID_2427","3399"
"58","VID_3232","873"
"59","VID_17944","992"
"60","VID_19507","1358"
"61","VID_6745","3399"
"62","VID_8446","3399"
"63","VID_17593","2148"
"64","VID_21611","5256"
"65","VID_16242","1358"
"66","VID_23409","1358"
"67","VID_22950","3399"
"68","VID_15401","784"
"69","VID_7634","1311"
"70","VID_4283","3399"
"71","VID_20020","3399"
"72","VID_13334","1988"
"73","VID_17504","3399"
"74","VID_22854","3086"
"75","VID_4396","16001"
"76","VID_7426","1700"
"77","VID_1941","1957"
"78","VID_22447","3399"
"79","VID_13156","3399"
"80","VID_6361","1062"
"81","VID_1601","1358"
"82","VID_5787","3065"
"83","VID_15044","3399"
"84","VID_18511","4479"
"85","VID_17965","1358"
"86","VID_20023","3399"
"87","VID_20294","1586"
"88","VID_4284","2972"
"89","VID_6333","683"
"90","VID_4459","5256"
"91","VID_7896","3399"
"92","VID_14003","1691"
"93","VID_22518","3399"
"94","VID_12272","3536"
"95","VID_1002","1180"
"96","VID_2801","1143"
"97","VID_85","700"
"98","VID_17535","406"
"99","VID_16710","1182"
"100","VID_7899","235"
"101","VID_3336","1101"
"102","VID_966","1358"
"103","VID_15920","1230"
"104","VID_9048","1191"
"105","VID_10819","3399"
"106","VID_9004","1358"
"107","VID_8038","3399"
"108","VID_22273","755"
"109","VID_9597","3399"
"110","VID_405","533"
"111","VID_6857","1105"
"112","VID_745","1026"
"113","VID_22181","1358"
"114","VID_2452","1143"
"115","VID_16534","407"
"116","VID_8504","3399"
"117","VID_6211","1358"
"118","VID_7421","447"
"119","VID_19004","1143"
"120","VID_21560","3399"
"121","VID_6904","634"
"122","VID_10068","357"
"123","VID_3831","663"
"124","VID_523","3399"
"125","VID_21181","1634"
"126","VID_9556","3399"
"127","VID_1140","4657"
"128","VID_18078","2808"
"129","VID_13326","1143"
"130","VID_21883","1367"
"131","VID_18044","1508"
"132","VID_11715","3399"
"133","VID_7741","1358"
"134","VID_23167","1358"
"135","VID_4147","1265"
"136","VID_12377","729"
"137","VID_16014","1311"
"138","VID_21928","3909"
"139","VID_22002","3399"
"140","VID_19194","3909"
"141","VID_17892","1358"
"142","VID_19234","3399"
"143","VID_1790","3399"
"144","VID_7878","1358"
"145","VID_6945","3399"
"146","VID_17600","1173"
"147","VID_7502","1230"
"148","VID_11761","3399"
"149","VID_578","1143"
"150","VID_2068","3399"
"151","VID_10591","1358"
"152","VID_1300","5730"
"153","VID_2950","1163"
"154","VID_12930","3399"
"155","VID_22247","1358"
"156","VID_4330","3909"
"157","VID_14398","2655"
"158","VID_8506","3399"
"159","VID_12462","805"
"160","VID_21697","3399"
"161","VID_14574","2906"
"162","VID_14171","487"
"163","VID_22620","1062"
"164","VID_5642","1358"
"165","VID_12689","3208"
"166","VID_3676","594"
"167","VID_23515","1358"
"168","VID_11336","3399"
"169","VID_8360","549"
"170","VID_14293","2836"
"171","VID_7088","1260"
"172","VID_11588","1508"
"173","VID_12193","1358"
"174","VID_18944","3399"
"175","VID_14220","1412"
"176","VID_2589","3399"
"177","VID_17644","1062"
"178","VID_20263","1358"
"179","VID_15204","1691"
"180","VID_6855","1750"
"181","VID_19306","1508"
"182","VID_20132","3399"
"183","VID_18477","1511"
"184","VID_4562","1143"
"185","VID_17001","1691"
"186","VID_6858","965"
"187","VID_20250","996"
"188","VID_22484","3399"
"189","VID_2358","3399"
"190","VID_17132","1311"
"191","VID_19635","2972"
"192","VID_20188","3399"
"193","VID_1272","2542"
"194","VID_2390","730"
"195","VID_10914","1358"
"196","VID_9647","3399"
"197","VID_11219","1358"
"198","VID_13260","3399"
"199","VID_21600","3399"
"200","VID_12441","533"
"201","VID_15261","1580"
"202","VID_11540","723"
"203","VID_20101","957"
"204","VID_3909","3399"
"205","VID_14409","3399"
"206","VID_10430","1358"
"207","VID_8148","1454"
"208","VID_9579","3399"
"209","VID_12302","1700"
"210","VID_7161","3399"
"211","VID_17471","1143"
"212","VID_13296","873"
"213","VID_1935","1070"
"214","VID_23277","1358"
"215","VID_20389","3399"
"216","VID_2988","1358"
"217","VID_5453","1230"
"218","VID_6553","571"
"219","VID_18356","4003"
"220","VID_15268","3399"
"221","VID_21503","379"
"222","VID_6901","873"
"223","VID_5796","2113"
"224","VID_21475","1358"
"225","VID_19600","3399"
"226","VID_7977","3399"
"227","VID_4704","1358"
"228","VID_20858","1464"
"229","VID_23644","3399"
"230","VID_12962","3399"
"231","VID_4894","1026"
"232","VID_4803","1143"
"233","VID_8408","790"
"234","VID_12226","1227"
"235","VID_1299","1904"
"236","VID_7721","3399"
"237","VID_1919","5793"
"238","VID_23316","6784"
"239","VID_17849","700"
"240","VID_1313","1358"
"241","VID_9117","3399"
"242","VID_9152","3399"
"243","VID_15543","873"
"244","VID_11505","1143"
"245","VID_647","1707"
"246","VID_2236","3399"
"247","VID_14118","554"
"248","VID_1225","4657"
"249","VID_11257","487"
"250","VID_13130","3909"
"251","VID_12580","3399"
"252","VID_860","3399"
"253","VID_14251","1143"
"254","VID_6476","1029"
"255","VID_13070","1311"
"256","VID_4623","2707"
"257","VID_13599","3399"
"258","VID_11705","3399"
"259","VID_11736","1358"
"260","VID_14145","3399"
"261","VID_13264","3399"
"262","VID_10476","1381"
"263","VID_22755","3399"
"264","VID_13294","1395"
"265","VID_964","2868"
"266","VID_23498","805"
"267","VID_12090","1358"
"268","VID_7494","805"
"269","VID_141","1542"
"270","VID_242","3399"
"271","VID_8088","1988"
"272","VID_10154","1358"
"273","VID_3878","924"
"274","VID_4799","1143"
"275","VID_12287","3462"
"276","VID_15607","3399"
"277","VID_9974","453"
"278","VID_20032","3399"
"279","VID_9920","1143"
"280","VID_7959","3399"
"281","VID_21506","1358"
"282","VID_15898","1358"
"283","VID_4349","1707"
"284","VID_16235","3318"
"285","VID_6391","1227"
"286","VID_4940","1358"
"287","VID_16185","282"
"288","VID_6988","1358"
"289","VID_877","3399"
"290","VID_23610","3399"
"291","VID_17702","1336"
"292","VID_18664","1358"
"293","VID_9915","3399"
"294","VID_4438","3399"
"295","VID_15812","1358"
"296","VID_15966","3399"
"297","VID_2832","1143"
"298","VID_20533","1358"
"299","VID_12692","1358"
"300","VID_11340","3399"
"301","VID_10760","3399"
"302","VID_19631","3074"
"303","VID_7012","1105"
"304","VID_7799","1358"
"305","VID_3963","1358"
"306","VID_501","1454"
"307","VID_9202","1508"
"308","VID_14268","1358"
"309","VID_21714","1143"
"310","VID_23154","2520"
"311","VID_4429","1062"
"312","VID_16062","1358"
"313","VID_6282","3399"
"314","VID_13205","1988"
"315","VID_8515","1143"
"316","VID_9480","3399"
"317","VID_21979","3318"
"318","VID_18494","486"
"319","VID_20589","3399"
"320","VID_15916","2972"
"321","VID_17023","1358"
"322","VID_8425","1105"
"323","VID_3586","1286"
"324","VID_5788","1531"
"325","VID_12137","1206"
"326","VID_14347","1764"
"327","VID_19044","1143"
"328","VID_11039","3399"
"329","VID_3484","1358"
"330","VID_15142","3909"
"331","VID_3351","439"
"332","VID_5895","1358"
"333","VID_16112","1358"
"334","VID_19247","3399"
"335","VID_11439","660"
"336","VID_18883","3399"
"337","VID_12140","1358"
