"","vid_id","ad_view"
"1","VID_1054","680"
"2","VID_18629","212"
"3","VID_13967","2087"
"4","VID_19442","22"
"5","VID_770","5117"
"6","VID_10315","10"
"7","VID_7417","126"
"8","VID_17788","268"
"9","VID_14591","24"
"10","VID_1228","61"
"11","VID_10153","1526"
"12","VID_5667","184"
"13","VID_22775","1324"
"14","VID_8353","545"
"15","VID_486","167"
"16","VID_17460","1794"
"17","VID_5867","312"
"18","VID_15951","7"
"19","VID_14890","182"
"20","VID_7219","261"
"21","VID_20045","4243"
"22","VID_11874","235"
"23","VID_1208","872"
"24","VID_4529","2236"
"25","VID_6793","22"
"26","VID_18254","124"
"27","VID_11155","63"
"28","VID_12257","3882"
"29","VID_4207","11"
"30","VID_23276","2883"
"31","VID_18261","382"
"32","VID_11536","1332"
"33","VID_6429","55"
"34","VID_9277","104"
"35","VID_517","279"
"36","VID_11291","110"
"37","VID_11265","470"
"38","VID_632","349"
"39","VID_13587","983"
"40","VID_16439","3481"
"41","VID_14888","7739"
"42","VID_3207","190"
"43","VID_9352","372"
"44","VID_3286","16"
"45","VID_19592","238"
"46","VID_15582","22952"
"47","VID_15269","15315"
"48","VID_5703","2922"
"49","VID_22315","197"
"50","VID_14939","2917"
"51","VID_18277","2782"
"52","VID_1684","1961"
"53","VID_14842","718"
"54","VID_635","13"
"55","VID_19621","741"
"56","VID_2006","461"
"57","VID_2427","1300"
"58","VID_3232","6"
"59","VID_17944","3813"
"60","VID_19507","268"
"61","VID_6745","208"
"62","VID_8446","299"
"63","VID_17593","1911"
"64","VID_21611","9628"
"65","VID_16242","9"
"66","VID_23409","1690"
"67","VID_22950","922"
"68","VID_15401","87"
"69","VID_7634","864"
"70","VID_4283","59"
"71","VID_20020","780"
"72","VID_13334","1309"
"73","VID_17504","413"
"74","VID_22854","3407"
"75","VID_4396","484"
"76","VID_7426","756"
"77","VID_1941","5601"
"78","VID_22447","602"
"79","VID_13156","1102"
"80","VID_6361","236"
"81","VID_1601","1707"
"82","VID_5787","3012"
"83","VID_15044","267"
"84","VID_18511","2593"
"85","VID_17965","597"
"86","VID_20023","7812"
"87","VID_20294","6"
"88","VID_4284","9264"
"89","VID_6333","13"
"90","VID_4459","126"
"91","VID_7896","449"
"92","VID_14003","611"
"93","VID_22518","261"
"94","VID_12272","315"
"95","VID_1002","878"
"96","VID_2801","324"
"97","VID_85","608"
"98","VID_17535","235"
"99","VID_16710","1053"
"100","VID_7899","159"
"101","VID_3336","103"
"102","VID_966","185"
"103","VID_15920","142"
"104","VID_9048","42"
"105","VID_10819","861"
"106","VID_9004","424"
"107","VID_8038","604"
"108","VID_22273","147"
"109","VID_9597","37"
"110","VID_405","91"
"111","VID_6857","196"
"112","VID_745","186"
"113","VID_22181","792"
"114","VID_2452","60"
"115","VID_16534","3432"
"116","VID_8504","645"
"117","VID_6211","98"
"118","VID_7421","199"
"119","VID_19004","146"
"120","VID_21560","282"
"121","VID_6904","99"
"122","VID_10068","3552"
"123","VID_3831","5018"
"124","VID_523","976"
"125","VID_21181","44"
"126","VID_9556","18"
"127","VID_1140","2594"
"128","VID_18078","223"
"129","VID_13326","3471"
"130","VID_21883","64"
"131","VID_18044","279"
"132","VID_11715","198"
"133","VID_7741","83"
"134","VID_23167","239"
"135","VID_4147","9"
"136","VID_12377","1528"
"137","VID_16014","224"
"138","VID_21928","2302"
"139","VID_22002","1664"
"140","VID_19194","180"
"141","VID_17892","5922"
"142","VID_19234","1638"
"143","VID_1790","201"
"144","VID_7878","335"
"145","VID_6945","551"
"146","VID_17600","217"
"147","VID_7502","71"
"148","VID_11761","11"
"149","VID_578","92"
"150","VID_2068","4084"
"151","VID_10591","56"
"152","VID_1300","7829"
"153","VID_2950","895"
"154","VID_12930","136"
"155","VID_22247","1509"
"156","VID_4330","8367"
"157","VID_14398","5980"
"158","VID_8506","104520"
"159","VID_12462","1102"
"160","VID_21697","1021"
"161","VID_14574","310"
"162","VID_14171","1131"
"163","VID_22620","4384"
"164","VID_5642","7"
"165","VID_12689","992"
"166","VID_3676","257"
"167","VID_23515","1078"
"168","VID_11336","417"
"169","VID_8360","2381"
"170","VID_14293","6951"
"171","VID_7088","735"
"172","VID_11588","7377"
"173","VID_12193","949"
"174","VID_18944","383"
"175","VID_14220","2239"
"176","VID_2589","352"
"177","VID_17644","3999"
"178","VID_20263","437"
"179","VID_15204","2207"
"180","VID_6855","137"
"181","VID_19306","336"
"182","VID_20132","941"
"183","VID_18477","5384"
"184","VID_4562","670"
"185","VID_17001","693"
"186","VID_6858","875"
"187","VID_20250","6"
"188","VID_22484","977"
"189","VID_2358","5650"
"190","VID_17132","131"
"191","VID_19635","755"
"192","VID_20188","670"
"193","VID_1272","9377"
"194","VID_2390","215"
"195","VID_10914","1119"
"196","VID_9647","345"
"197","VID_11219","496"
"198","VID_13260","3115"
"199","VID_21600","1714"
"200","VID_12441","1076"
"201","VID_15261","5984"
"202","VID_11540","41"
"203","VID_20101","146"
"204","VID_3909","278"
"205","VID_14409","423"
"206","VID_10430","3"
"207","VID_8148","207"
"208","VID_9579","35"
"209","VID_12302","2208"
"210","VID_7161","216"
"211","VID_17471","214"
"212","VID_13296","209"
"213","VID_1935","1520"
"214","VID_23277","365"
"215","VID_20389","189"
"216","VID_2988","234"
"217","VID_5453","75"
"218","VID_6553","1140"
"219","VID_18356","468"
"220","VID_15268","1550"
"221","VID_21503","6"
"222","VID_6901","35"
"223","VID_5796","520"
"224","VID_21475","297"
"225","VID_19600","1157"
"226","VID_7977","5643"
"227","VID_4704","327"
"228","VID_20858","2717"
"229","VID_23644","981"
"230","VID_12962","92"
"231","VID_4894","52"
"232","VID_4803","1223"
"233","VID_8408","6"
"234","VID_12226","2179"
"235","VID_1299","559"
"236","VID_7721","556"
"237","VID_1919","8316"
"238","VID_23316","141"
"239","VID_17849","849"
"240","VID_1313","425"
"241","VID_9117","1990"
"242","VID_9152","329"
"243","VID_15543","6"
"244","VID_11505","1040"
"245","VID_647","661"
"246","VID_2236","413"
"247","VID_14118","55"
"248","VID_1225","7918"
"249","VID_11257","544"
"250","VID_13130","4932"
"251","VID_12580","3390"
"252","VID_860","550"
"253","VID_14251","332"
"254","VID_6476","630"
"255","VID_13070","11"
"256","VID_4623","81"
"257","VID_13599","1232"
"258","VID_11705","686"
"259","VID_11736","58"
"260","VID_14145","2939"
"261","VID_13264","29"
"262","VID_10476","839"
"263","VID_22755","195"
"264","VID_13294","184"
"265","VID_964","452"
"266","VID_23498","3405"
"267","VID_12090","122"
"268","VID_7494","220"
"269","VID_141","508"
"270","VID_242","3972"
"271","VID_8088","6122"
"272","VID_10154","424"
"273","VID_3878","3085"
"274","VID_4799","312"
"275","VID_12287","4482"
"276","VID_15607","670"
"277","VID_9974","153"
"278","VID_20032","707"
"279","VID_9920","86"
"280","VID_7959","319"
"281","VID_21506","42"
"282","VID_15898","447"
"283","VID_4349","7776"
"284","VID_16235","7339"
"285","VID_6391","3277"
"286","VID_4940","9"
"287","VID_16185","143"
"288","VID_6988","390"
"289","VID_877","2653"
"290","VID_23610","492"
"291","VID_17702","11"
"292","VID_18664","197"
"293","VID_9915","2806"
"294","VID_4438","10913"
"295","VID_15812","290"
"296","VID_15966","2518"
"297","VID_2832","4083"
"298","VID_20533","15"
"299","VID_12692","6"
"300","VID_11340","590"
"301","VID_10760","23"
"302","VID_19631","1322"
"303","VID_7012","1244"
"304","VID_7799","2438"
"305","VID_3963","1256"
"306","VID_501","1432"
"307","VID_9202","330"
"308","VID_14268","361"
"309","VID_21714","1312"
"310","VID_23154","1981"
"311","VID_4429","43"
"312","VID_16062","613"
"313","VID_6282","1271"
"314","VID_13205","3592"
"315","VID_8515","39"
"316","VID_9480","58"
"317","VID_21979","4987"
"318","VID_18494","172"
"319","VID_20589","1638"
"320","VID_15916","2147"
"321","VID_17023","106"
"322","VID_8425","63"
"323","VID_3586","9"
"324","VID_5788","6651"
"325","VID_12137","1771"
"326","VID_14347","1563"
"327","VID_19044","43"
"328","VID_11039","8725"
"329","VID_3484","47"
"330","VID_15142","3727"
"331","VID_3351","1032"
"332","VID_5895","321"
"333","VID_16112","54"
"334","VID_19247","1788"
"335","VID_11439","1514"
"336","VID_18883","2651"
"337","VID_12140","573"
"338","VID_17446","258"
"339","VID_5115","4200"
"340","VID_21486","252"
"341","VID_17120","319"
"342","VID_3959","432"
"343","VID_15956","534"
"344","VID_15739","97"
"345","VID_2682","297"
"346","VID_14621","1328"
"347","VID_9320","893"
"348","VID_12110","1053"
"349","VID_11354","87"
"350","VID_811","160"
"351","VID_9472","830"
"352","VID_4773","301"
"353","VID_12695","43"
"354","VID_19547","674"
"355","VID_530","86"
"356","VID_155","354"
"357","VID_22955","1381"
"358","VID_20307","5039"
"359","VID_11612","441"
"360","VID_15674","5341"
"361","VID_13000","271"
"362","VID_1455","424"
"363","VID_23534","52"
"364","VID_18740","400"
"365","VID_17988","446"
"366","VID_21728","1039"
"367","VID_10905","12"
"368","VID_18445","2550"
"369","VID_21983","7560"
"370","VID_16023","75"
"371","VID_1444","832"
"372","VID_1814","89"
"373","VID_19094","1871"
"374","VID_19355","727"
"375","VID_20430","451"
"376","VID_13461","205"
"377","VID_9066","424"
"378","VID_3020","3098"
"379","VID_13577","4970"
"380","VID_5062","932"
"381","VID_9293","278"
"382","VID_16663","148"
"383","VID_20444","461"
"384","VID_22353","66518"
"385","VID_22384","272"
"386","VID_23036","549"
"387","VID_12705","10253"
