Row Labels,Average of price,,,Row Labels,Average of price
98001,280804.6906,,,98039,2160606.6
98002,234284.0352,,,98004,1355927.098
98003,294111.2786,,,98040,1194230.004
98004,1355927.098,,,98112,1095499.368
98005,810164.881,,,98102,901258.2381
98006,859684.7631,,,98109,879623.6239
98007,617105.0851,,,98105,862825.2314
98008,645507.3781,,,98006,859684.7631
98010,423665.99,,,98119,849448.0109
98011,490351.4667,,,98005,810164.881
98014,455617.1129,,,98033,803719.5324
98019,424788.7474,,,98199,791820.8328
98022,315709.3034,,,98075,790576.6685
98023,286732.7916,,,98074,685605.7755
98024,580526.7901,,,98077,682774.8788
98027,616990.5874,,,98053,678163.0593
98028,462480.0353,,,98177,676185.3922
98029,612653.6106,,,98008,645507.3781
98030,296187.9805,,,98052,645231.453
98031,300539.8905,,,98122,634360.1759
98032,251296.24,,,98115,619900.5506
98033,803719.5324,,,98116,618634.1788
98034,521652.8587,,,98007,617105.0851
98038,366867.6,,,98027,616990.5874
98039,2160606.6,,,98029,612653.6106
98040,1194230.004,,,98144,594547.6414
98042,311632.1058,,,98103,584919.211
98045,439471.0814,,,98024,580526.7901
98052,645231.453,,,98107,579053.4173
98053,678163.0593,,,98117,576795.0072
98055,304262.1082,,,98072,569958.4579
98056,420890.5493,,,98136,551688.673
98058,353608.6352,,,98065,527961.2032
98059,493552.5214,,,98034,521652.8587
98065,527961.2032,,,98059,493552.5214
98070,487479.6271,,,98011,490351.4667
98072,569958.4579,,,98070,487479.6271
98074,685605.7755,,,98125,469455.7707
98075,790576.6685,,,98166,464231.8386
98077,682774.8788,,,98028,462480.0353
98092,334921.0627,,,98014,455617.1129
98102,901258.2381,,,98045,439471.0814
98103,584919.211,,,98019,424788.7474
98105,862825.2314,,,98126,424706.3559
98106,319581.394,,,98155,423725.6951
98107,579053.4173,,,98010,423665.99
98108,355678.5161,,,98056,420890.5493
98109,879623.6239,,,98118,417637.4331
98112,1095499.368,,,98133,386997.3968
98115,619900.5506,,,98038,366867.6
98116,618634.1788,,,98146,359483.2396
98117,576795.0072,,,98108,355678.5161
98118,417637.4331,,,98058,353608.6352
98119,849448.0109,,,98092,334921.0627
98122,634360.1759,,,98106,319581.394
98125,469455.7707,,,98022,315709.3034
98126,424706.3559,,,98042,311632.1058
98133,386997.3968,,,98178,310612.7557
98136,551688.673,,,98055,304262.1082
98144,594547.6414,,,98198,302878.8821
98146,359483.2396,,,98031,300539.8905
98148,284908.5965,,,98030,296187.9805
98155,423725.6951,,,98003,294111.2786
98166,464231.8386,,,98188,289078.3456
98168,240328.3717,,,98023,286732.7916
98177,676185.3922,,,98148,284908.5965
98178,310612.7557,,,98001,280804.6906
98188,289078.3456,,,98032,251296.24
98198,302878.8821,,,98168,240328.3717
98199,791820.8328,,,98002,234284.0352
Grand Total,540088.1419,,,,
